"SourceKey","Sentiment","Sector","Date"
168,"none","sector","2020-07-19"
169,"bearish","telecommunicationServices","2020-07-19"
170,"none","sector","2020-07-19"
171,"none","telecommunicationServices","2020-07-19"
172,"none","sector","2020-07-19"
173,"bearish","telecommunicationServices","2020-07-19"
174,"none","telecommunicationServices","2020-07-19"
175,"none","sector","2020-07-19"
176,"bearish","telecommunicationServices","2020-07-19"
177,"none","sector","2020-07-19"
178,"none","sector","2020-07-19"
179,"none","sector","2020-07-19"
180,"none","telecommunicationServices","2020-07-19"
181,"none","telecommunicationServices","2020-07-19"
182,"bearish","telecommunicationServices","2020-07-19"
183,"bearish","sector","2020-07-19"
184,"none","sector","2020-07-19"
185,"none","healthCare","2020-07-19"
186,"none","healthCare","2020-07-19"
187,"bearish","sector","2020-07-19"
188,"none","informationtechnology","2020-07-19"
189,"none","informationtechnology","2020-07-19"
190,"bullish","healthCare","2020-07-19"
191,"bullish","informationtechnology","2020-07-19"
192,"bullish","sector","2020-07-19"
193,"none","industrials","2020-07-19"
194,"none","telecommunicationServices","2020-07-19"
195,"none","healthCare","2020-07-19"
196,"bearish","sector","2020-07-19"
197,"none","telecommunicationServices","2020-07-19"
198,"bullish","industrials","2020-07-19"
199,"none","telecommunicationServices","2020-07-19"
200,"none","sector","2020-07-19"
201,"none","sector","2020-07-19"
202,"none","industrials","2020-07-19"
203,"bullish","sector","2020-07-19"
204,"none","sector","2020-07-19"
205,"none","sector","2020-07-19"
206,"none","telecommunicationServices","2020-07-19"
207,"none","industrials","2020-07-19"
208,"bullish","telecommunicationServices","2020-07-19"
209,"bullish","sector","2020-07-19"
210,"bullish","telecommunicationServices","2020-07-19"
211,"none","sector","2020-07-19"
212,"bullish","healthCare","2020-07-19"
213,"none","telecommunicationServices","2020-07-19"
214,"none","healthCare","2020-07-19"
215,"none","telecommunicationServices","2020-07-19"
216,"none","telecommunicationServices","2020-07-19"
217,"none","telecommunicationServices","2020-07-19"
218,"none","industrials","2020-07-19"
